ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Yan Ta Khao,ย่านตาขาว,TH9203,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Palian,ปะเหลียน,TH9204,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Sikao,สิเกา,TH9205,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Huai Yot,ห้วยยอด,TH9206,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Wang Wiset,วังวิเศษ,TH9207,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Na Yong,นาโยง,TH9208,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Ratsada,รัษฎา,TH9209,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Hat Samran,หาดสำราญ,TH9210,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mueang Phatthalung,เมืองพัทลุง,TH9301,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Kong Ra,กงหรา,TH9302,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Khao Chaison,เขาชัยสน,TH9303,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Tamot,ตะโหมด,TH9304,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Khuan Khanun,ควนขนุน,TH9305,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Pak Phayun,ปากพะยูน,TH9306,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Si Banphot,ศรีบรรพต,TH9307,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Pa Bon,ป่าบอน,TH9308,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Bang Kaeo,บางแก้ว,TH9309,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Pa Phayom,ป่าพะยอม,TH9310,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Srinagarindra,ศรีนครินทร์,TH9311,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Thung Yang Daeng,ทุ่งยางแดง,TH9406,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mai Kaen,ไม้แก่น,TH9408,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Yaring,ยะหริ่ง,TH9409,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Yarang,ยะรัง,TH9410,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Kapho,กะพ้อ,TH9411,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mae Lan,แม่ลาน,TH9412,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Than To,ธารโต,TH9504,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Kabang,กาบัง,TH9507,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Krong Pinang,กรงปินัง,TH9508,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Mueang Narathiwat,เมืองนราธิวาส,TH9601,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Tak Bai,ตากใบ,TH9602,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Bacho,บาเจาะ,TH9603,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Yi-Ngo,ยี่งอ,TH9604,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Ra-Ngae,ระแงะ,TH9605,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Rueso,รือเสาะ,TH9606,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Si Sakhon,ศรีสาคร,TH9607,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Waeng,แว้ง,TH9608,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Sukhirin,สุคิริน,TH9609,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Su-Ngai Kolok,สุไหงโก-ลก,TH9610,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Su-Ngai Padi,สุไหงปาดี,TH9611,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Chanae,จะแนะ,TH9612,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
Cho-Airong,เจาะไอร้อง,TH9613,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,ภาคใต้,เมืองรอง
